black,white,b_time,w_time,winner,rounds
Janos,Jay,4.243685099999999,4.615637699999999,Janos,18
Jay,Janos,28.176482399999983,31.571408000000012,Jay,54
Janos,Jay,16.915354599999986,5.704089599999989,Janos,32
Jay,Janos,7.649242700000002,6.484724700000001,Janos,19
Janos,Jay,4.3010955999999965,9.049003599999978,Jay,19
Jay,Janos,11.190797500000016,4.810918299999969,Jay,24
Janos,Jay,27.689992400000136,40.75315050000006,Jay,57
Jay,Janos,8.603219100000018,13.557217199999968,Jay,34
Janos,Jay,16.18678730000005,32.3876674,Jay,53
Jay,Janos,11.66018299999996,4.593928799999901,Jay,24
Jay,Jane,10.2002184,4.8761747000000035,Jay,24
Jane,Jay,41.47706019999997,26.33220740000001,Jane,56
Jay,Jane,14.768318599999972,16.521641799999998,Jane,35
Jane,Jay,21.641355900000036,27.342325399999936,Jane,52
Jay,Jane,23.96941240000004,5.6839382000000285,Jane,39
Jane,Jay,9.501680700000009,7.696602699999971,Jane,24
Jay,Jane,38.58707960000004,29.383192700000023,draw,59
Jane,Jay,15.607127999999818,21.827076999999974,Jane,40
Jay,Jane,7.9645547999999735,3.5537460000000465,Jay,20
Jane,Jay,3.302189300000009,7.90591900000004,Jane,18
Jane,Janos,14.6828141,8.341866099999995,Jane,36
Janos,Jane,16.1455326,15.450364800000006,Jane,45
Jane,Janos,34.00491110000004,18.969824399999986,Jane,58
Janos,Jane,6.611063800000039,6.577811399999987,Janos,18
Jane,Janos,14.150552999999988,21.482215500000024,Jane,40
Janos,Jane,12.934192700000068,17.879588600000062,Janos,38
Jane,Janos,3.899642899999975,6.335482400000103,Jane,18
Janos,Jane,12.064312699999988,8.114268899999956,Jane,29
Jane,Janos,11.768948400000028,11.173758599999985,Jane,32
Janos,Jane,15.245199900000102,7.42819729999988,Janos,32
Janos,Jay,11.240182099999995,6.9730137999999995,Janos,28
Jay,Janos,8.084950500000005,6.903122599999996,Janos,21
Janos,Jay,9.402096199999995,6.085584600000004,Janos,24
Jay,Janos,34.21771900000004,26.044320699999986,draw,59
Janos,Jay,5.542207200000007,6.446305500000008,Janos,18
Jay,Janos,15.071600700000033,6.700148500000012,Jay,28
Janos,Jay,12.935447999999951,14.233193899999975,Janos,36
Jay,Janos,12.235928899999976,10.847316800000044,Jay,34
Janos,Jay,7.087901699999975,5.535840400000069,Janos,20
Jay,Janos,7.7367472999999904,8.106946699999952,Jay,26
Jay,Jane,36.025722099999996,30.501391200000008,draw,59
Jane,Jay,13.65620300000002,18.925398400000006,Jane,38
Jay,Jane,38.719668600000034,15.539624699999962,Jane,49
Jane,Jay,10.27125129999996,9.44602690000005,Jane,30
Jay,Jane,26.601235000000003,24.417070500000108,draw,59
Jane,Jay,20.277325700000034,23.2955366999999,Jane,52
Jay,Jane,35.355107399999895,23.700798099999815,draw,59
Jane,Jay,25.788103199999853,11.32473570000002,Jane,42
Jay,Jane,22.344972500000097,13.005220099999917,Jane,43
Jane,Jay,10.335308199999815,7.060080800000037,Jane,24
Jane,Janos,4.752791399999999,6.482387900000001,Jane,18
Janos,Jane,18.174858299999997,5.274859200000003,Janos,36
Jane,Janos,12.587228599999982,37.227849400000046,draw,59
Janos,Jane,17.318380600000026,15.049785699999987,Janos,44
Jane,Janos,11.31589779999996,15.572785400000058,Jane,30
Janos,Jane,17.2973815,6.562311899999969,Janos,34
Jane,Janos,33.59487650000003,25.8738434,draw,59
Janos,Jane,9.610142700000097,5.195313699999957,Janos,24
Jane,Janos,37.95549409999987,29.735015099999856,draw,59
Janos,Jane,10.1907455999999,6.386350999999991,Janos,24
Janos,Jay,6.069022399999997,6.7820113,Janos,18
Jay,Janos,11.058372599999995,3.435794999999997,Jay,22
Janos,Jay,15.272155200000014,22.515958999999985,Jay,49
Jay,Janos,7.637436999999991,7.01930950000002,Jay,22
Janos,Jay,16.584707999999992,23.190371899999988,Jay,45
Jay,Janos,7.055468399999981,9.729649300000062,Jay,24
Janos,Jay,10.466986099999986,6.543273900000003,Janos,26
Jay,Janos,9.709490300000027,4.6286529000000485,Jay,24
Janos,Jay,6.675129600000048,6.02177979999999,Janos,20
Jay,Janos,12.565897799999988,6.457280899999972,Jay,28
Jay,Jane,10.3814531,5.4019019,Jane,23
Jane,Jay,17.761493500000004,8.137951700000002,Jane,38
Jay,Jane,9.865831700000015,5.192996700000002,Jay,24
Jane,Jay,9.276776600000005,11.565450500000011,Jane,28
Jay,Jane,41.13120830000007,23.386801100000014,draw,59
Jane,Jay,8.334190500000034,6.609069200000079,Jane,24
Jay,Jane,17.349957000000046,7.090700999999939,Jay,32
Jane,Jay,18.315966199999963,20.802502699999934,Jane,42
Jay,Jane,19.291129100000035,33.04241530000016,Jane,49
Jane,Jay,8.238872399999991,20.746689700000047,Jane,28
Jane,Janos,28.75993900000001,27.247797599999995,Jane,52
Janos,Jane,6.596947300000032,8.128892699999959,Jane,19
Jane,Janos,14.687967000000043,18.017332900000056,Jane,34
Janos,Jane,12.668135600000042,3.5743854000000113,Janos,24
Jane,Janos,4.754671399999964,5.56858179999999,Jane,20
Janos,Jane,14.972063299999917,8.449261000000035,Jane,33
Jane,Janos,14.950567399999954,9.403988499999912,Jane,32
Janos,Jane,26.413631099999975,9.44178199999996,Jane,41
Jane,Janos,4.926095500000031,7.08709829999998,Jane,18
Janos,Jane,6.5129304000000445,5.544565799999958,Janos,18
